GroundSpeed (kts),Altitude (feet),Heading (deg),Latitude (deg),Longitude (deg)
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
0,0,207,-27.38098785,153.1307007
1,0,207,-27.38098836,153.1307004
3,0,207,-27.38099197,153.1306984
6,0,206,-27.38099939,153.1306942
8,0,205,-27.38101017,153.1306883
10,0,205,-27.38102667,153.1306795
12,0,204,-27.38104497,153.1306701
14,0,203,-27.38106665,153.1306592
15,3,204,-27.38109088,153.1306474
15,3,206,-27.38111608,153.130635
16,3,208,-27.38114413,153.1306203
18,3,210,-27.38117281,153.1306037
20,3,210,-27.38120597,153.1305832
21,3,210,-27.38123768,153.130563
23,3,209,-27.38127318,153.1305402
24,3,208,-27.38131152,153.1305159
26,3,207,-27.38135234,153.1304908
27,0,206,-27.38139968,153.1304627
29,0,205,-27.38144435,153.1304372
30,3,205,-27.3814971,153.1304081
31,3,205,-27.3815485,153.1303806
32,3,204,-27.38159946,153.1303537
34,3,204,-27.38165534,153.1303246
34,3,204,-27.38171749,153.1302927
35,3,206,-27.38177366,153.1302639
36,3,207,-27.38183366,153.1302326
37,3,207,-27.38189798,153.1301978
38,3,208,-27.38195972,153.1301635
40,3,207,-27.38202712,153.1301254
41,3,207,-27.3820961,153.1300861
42,3,207,-27.38216434,153.1300474
43,3,207,-27.38223147,153.1300094
44,3,207,-27.3823068,153.1299668
45,3,207,-27.38238223,153.1299243
46,3,207,-27.38245733,153.1298819
47,3,207,-27.38253972,153.1298355
48,3,207,-27.38261663,153.1297921
49,3,207,-27.38269067,153.1297503
50,3,207,-27.3827832,153.129698
51,3,207,-27.38286144,153.1296538
52,3,207,-27.38295502,153.129601
53,3,207,-27.38303815,153.1295541
54,3,207,-27.38312912,153.1295028
55,3,207,-27.38321273,153.1294555
56,3,207,-27.38331129,153.1293996
57,3,207,-27.38340465,153.1293465
58,3,207,-27.3834994,153.1292925
59,3,207,-27.38360232,153.1292338
59,3,207,-27.38370007,153.1291781
60,3,208,-27.38379629,153.1291231
61,3,207,-27.38390523,153.1290604
62,3,207,-27.38400263,153.1290043
63,3,207,-27.3841069,153.1289442
64,3,207,-27.38422076,153.1288786
65,3,207,-27.38432836,153.1288166
66,3,207,-27.38443281,153.1287566
