GroundSpeed (kts),Altitude (feet),Heading (deg),Latitude (deg),Longitude (deg)
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074886,153.1308793
0,0,206,-27.38074887,153.1308793
0,0,206,-27.38074888,153.1308793
1,0,206,-27.38074961,153.1308789
3,0,206,-27.38075305,153.130877
6,0,206,-27.38076164,153.1308722
8,0,205,-27.38077238,153.1308664
10,0,204,-27.38078888,153.1308578
12,0,203,-27.38080673,153.1308487
13,0,203,-27.38082818,153.1308382
15,0,203,-27.38085319,153.1308261
16,0,203,-27.38087848,153.1308138
18,3,204,-27.38090946,153.1307987
19,3,204,-27.38094079,153.1307834
20,3,205,-27.38097354,153.1307669
21,3,205,-27.38100814,153.130749
23,3,205,-27.38104555,153.1307294
24,3,204,-27.3810859,153.1307085
26,3,203,-27.38112835,153.130687
27,3,202,-27.38117696,153.1306632
28,3,203,-27.38122372,153.1306409
29,3,204,-27.38127189,153.1306181
29,3,205,-27.38132093,153.1305945
30,3,206,-27.38137172,153.1305693
32,3,205,-27.38142505,153.130542
33,3,205,-27.38148624,153.1305103
34,3,206,-27.38154529,153.1304798
34,3,207,-27.38159708,153.1304525
36,3,207,-27.38165781,153.1304196
37,3,206,-27.38171846,153.130386
38,3,205,-27.38178158,153.130351
40,3,204,-27.38185199,153.1303125
41,3,204,-27.38191982,153.1302763
42,3,204,-27.38199284,153.1302381
43,3,204,-27.38206329,153.1302018
44,3,204,-27.3821368,153.1301644
45,3,204,-27.38220795,153.1301282
45,3,205,-27.38229041,153.1300862
46,3,205,-27.3823672,153.1300468
47,3,205,-27.38244358,153.1300073
48,3,205,-27.38253179,153.1299613
49,3,206,-27.38261232,153.129919
50,3,207,-27.38269144,153.1298769
50,3,207,-27.38277895,153.1298296
51,3,207,-27.3828668,153.1297811
53,3,207,-27.38295324,153.1297328
54,3,207,-27.38304179,153.1296831
54,3,207,-27.38313582,153.1296302
55,3,207,-27.38322556,153.1295796
56,3,207,-27.38332137,153.1295255
57,3,207,-27.38341774,153.1294711
58,3,207,-27.38351278,153.1294173
59,3,207,-27.38360885,153.1293626
60,3,207,-27.38370777,153.1293062
61,3,207,-27.38381605,153.1292443
62,3,207,-27.38391817,153.129186
63,3,207,-27.38401697,153.1291296
64,3,207,-27.38412152,153.1290697
65,3,207,-27.38423149,153.1290066
65,3,207,-27.38433935,153.1289446
66,3,207,-27.38444816,153.1288819
67,3,207,-27.38456782,153.1288128
68,3,208,-27.38467434,153.1287512
69,3,207,-27.38479652,153.1286804
70,3,207,-27.38491212,153.1286133
71,3,207,-27.38502902,153.1285455
72,3,208,-27.38514685,153.1284771
73,3,208,-27.38526704,153.1284073
74,3,208,-27.38539104,153.128335
75,3,208,-27.38551193,153.1282644
75,3,208,-27.38563536,153.1281922
76,3,208,-27.38576302,153.1281173
77,3,208,-27.38589338,153.1280407
78,3,208,-27.3860215,153.1279653
79,3,208,-27.38615304,153.1278877
80,3,208,-27.38629172,153.1278058
81,3,208,-27.38641659,153.127732
82,3,208,-27.38655198,153.1276519
83,3,208,-27.3866964,153.1275664
84,3,208,-27.38682712,153.1274889
84,3,208,-27.38697083,153.1274036
85,3,208,-27.38711232,153.1273195
86,3,208,-27.38726561,153.1272283
87,3,208,-27.38740391,153.127146
88,3,208,-27.38754387,153.1270629
89,3,207,-27.38769748,153.1269718
90,3,207,-27.3878391,153.1268882
92,3,207,-27.38800115,153.1267927
93,3,207,-27.38815101,153.1267048
94,3,207,-27.38831481,153.126609
94,3,207,-27.38846527,153.1265213
95,3,207,-27.38862363,153.1264293
96,3,207,-27.38878178,153.1263377
97,3,207,-27.38894224,153.126245
98,3,207,-27.38911004,153.1261485
99,3,207,-27.38927146,153.1260559
100,3,207,-27.38943837,153.1259604
101,3,206,-27.38960174,153.1258672
102,3,206,-27.38977874,153.1257665
103,3,206,-27.3899458,153.1256717
103,3,206,-27.39011873,153.1255738
104,3,206,-27.39029244,153.1254756
105,7,206,-27.39046333,153.1253794
105,7,206,-27.3906596,153.1252693
106,10,206,-27.39082262,153.1251783
106,13,205,-27.39099014,153.1250852
107,17,205,-27.39118237,153.1249784
108,17,205,-27.39136092,153.1248793
108,20,206,-27.39153299,153.1247838
109,20,206,-27.39173424,153.1246722
110,20,206,-27.39192557,153.1245661
111,23,206,-27.39210207,153.1244684
111,23,205,-27.39229446,153.1243621
112,23,205,-27.39248211,153.1242585
113,26,205,-27.39265704,153.1241622
113,30,205,-27.39286342,153.1240489
114,33,205,-27.39305022,153.1239466
114,33,205,-27.39323563,153.1238454
115,36,205,-27.39343442,153.1237372
116,39,205,-27.39362735,153.123632
116,43,205,-27.39382204,153.1235255
117,46,205,-27.39403215,153.1234102
118,49,205,-27.39422034,153.1233068
118,53,205,-27.39442499,153.123194
118,56,206,-27.39462926,153.1230813
119,62,206,-27.3948185,153.1229767
119,66,206,-27.39502562,153.1228622
119,72,206,-27.39523155,153.1227482
120,79,206,-27.3954251,153.1226411
120,85,206,-27.39563079,153.1225273
120,92,206,-27.39584089,153.122411
120,99,206,-27.3960475,153.1222968
120,105,206,-27.39623046,153.1221956
121,112,206,-27.39645054,153.1220737
121,122,206,-27.39664861,153.1219637
121,128,206,-27.39684985,153.1218518
121,135,206,-27.39704573,153.1217426
121,141,206,-27.39726379,153.121621
122,151,206,-27.39746393,153.1215093
122,158,206,-27.39766591,153.1213964
122,164,206,-27.39787003,153.1212823
122,171,206,-27.39805405,153.1211794
122,177,206,-27.39827377,153.1210565
122,187,206,-27.39847677,153.120943
123,194,206,-27.39868223,153.1208281
123,200,206,-27.39890093,153.120706
123,210,206,-27.39910682,153.120591
123,217,206,-27.39931101,153.1204771
123,223,206,-27.39951535,153.1203633
123,233,206,-27.39971775,153.1202507
123,243,206,-27.39993046,153.1201326
123,253,206,-27.40014614,153.120013
123,263,206,-27.40036751,153.1198906
123,269,206,-27.40056104,153.1197837
123,279,206,-27.4007674,153.1196698
123,289,206,-27.40096868,153.1195586
123,299,206,-27.40118257,153.1194403
123,309,206,-27.40139445,153.1193231
123,318,206,-27.40159869,153.1192101
123,328,206,-27.40180352,153.1190968
122,338,206,-27.40201786,153.1189782
122,348,206,-27.40221876,153.1188672
122,358,206,-27.40241387,153.1187594
122,368,206,-27.40263726,153.1186362
122,377,206,-27.40283781,153.1185257
122,387,206,-27.40304099,153.1184139
122,397,206,-27.40326108,153.118293
122,407,206,-27.40345839,153.1181848
121,420,206,-27.40365835,153.1180754
121,430,205,-27.40386169,153.1179644
121,440,205,-27.404064,153.1178541
121,453,205,-27.40427375,153.1177399
121,463,205,-27.40447559,153.1176302
121,473,205,-27.40469408,153.1175115
121,486,205,-27.40489571,153.1174023
121,496,205,-27.40508903,153.1172977
121,505,205,-27.40529996,153.1171838
120,515,205,-27.40550942,153.117071
120,525,205,-27.40570228,153.1169674
120,535,205,-27.40590411,153.1168592
120,545,205,-27.40612242,153.1167424
120,555,205,-27.40631847,153.1166377
120,564,205,-27.40651725,153.1165317
120,574,205,-27.4067253,153.1164209
120,584,205,-27.40693148,153.1163112
120,594,205,-27.40713011,153.1162058
120,607,205,-27.40735103,153.1160888
120,617,205,-27.40754985,153.1159837
120,627,205,-27.40775124,153.1158776
120,637,205,-27.40795368,153.1157712
120,646,204,-27.40816556,153.1156603
120,656,204,-27.40836416,153.1155565
120,666,204,-27.4085756,153.1154462
120,676,204,-27.40877851,153.1153407
120,686,204,-27.40897717,153.1152375
120,696,204,-27.40918794,153.1151285
119,706,204,-27.40938109,153.1150288
119,715,204,-27.4095826,153.1149251
119,725,204,-27.40980095,153.1148132
119,735,204,-27.40999405,153.1147145
119,745,204,-27.41019572,153.1146117
119,755,204,-27.41041408,153.1145005
119,765,204,-27.41060619,153.1144027
119,774,204,-27.41080842,153.1142996
119,784,204,-27.41102605,153.1141884
119,794,204,-27.41122795,153.1140851
119,804,204,-27.41142916,153.113982
119,814,204,-27.41163773,153.1138751
119,824,204,-27.41183957,153.1137715
119,833,204,-27.4120406,153.1136683
119,843,204,-27.41224915,153.1135612
119,853,204,-27.41245016,153.113458
119,863,204,-27.41265235,153.1133543
119,873,204,-27.41285052,153.1132527
119,883,204,-27.41305656,153.1131471
119,896,204,-27.41326403,153.113041
119,905,204,-27.41346511,153.1129383
119,915,204,-27.41366798,153.1128349
119,933,204,-27.41387515,153.1127297
119,939,204,-27.4140773,153.1126277
119,951,204,-27.41427662,153.1125278
119,960,204,-27.41448944,153.1124222
120,957,203,-27.41470214,153.1123179
120,965,203,-27.4148978,153.1122231
120,971,203,-27.41509448,153.1121288
121,974,203,-27.41532684,153.1120184
122,978,203,-27.41553641,153.1119199
122,981,203,-27.41573164,153.1118291
122,981,202,-27.41596128,153.1117236
122,981,202,-27.41616856,153.1116299
122,980,202,-27.41637386,153.1115389
123,980,201,-27.41659415,153.1114437
123,977,201,-27.41680797,153.1113543
124,977,200,-27.41702458,153.1112668
124,974,199,-27.41725914,153.1111758
125,971,199,-27.41747952,153.111094
125,971,198,-27.41770082,153.1110157
126,969,197,-27.41793234,153.1109382
126,965,196,-27.41815857,153.1108671
127,967,195,-27.41838565,153.1108003
127,968,194,-27.4186233,153.1107356
127,968,193,-27.4188541,153.110678
128,967,192,-27.41908714,153.1106254
128,967,190,-27.41933954,153.1105752
128,966,189,-27.41955825,153.1105377
129,965,188,-27.41980225,153.1105023
129,964,186,-27.42003994,153.1104744
129,964,185,-27.42028085,153.1104527
129,964,184,-27.42050809,153.110438
130,964,183,-27.42076883,153.1104282
130,959,181,-27.4210283,153.1104255
131,958,180,-27.42125396,153.1104289
131,954,179,-27.42151433,153.1104394
132,951,177,-27.42176001,153.1104558
132,948,176,-27.42200889,153.1104788
133,945,174,-27.42225617,153.1105087
133,945,172,-27.42248277,153.1105426
133,942,170,-27.42273091,153.1105874
133,942,169,-27.42296737,153.110638
133,945,168,-27.42321793,153.1107
133,945,166,-27.42346834,153.1107697
133,948,165,-27.42371031,153.1108443
133,951,164,-27.42394515,153.1109234
133,955,162,-27.42418144,153.1110096
133,958,161,-27.4244329,153.1111088
133,961,160,-27.42466379,153.111207
133,969,158,-27.42489474,153.1113123
133,972,157,-27.42512025,153.1114224
132,980,155,-27.42534336,153.1115392
132,984,154,-27.42558089,153.1116727
132,991,152,-27.42579717,153.1118029
132,994,151,-27.42600796,153.1119379
132,998,149,-27.42621731,153.1120803
132,1005,148,-27.42644178,153.1122422
131,1009,147,-27.42664105,153.1123937
131,1012,146,-27.42683197,153.1125457
132,1023,144,-27.42704702,153.1127247
132,1023,143,-27.42723727,153.1128903
132,1026,142,-27.42743652,153.1130709
132,1026,141,-27.42761616,153.1132404
132,1026,140,-27.42781032,153.1134304
133,1026,139,-27.42799065,153.1136133
133,1016,138,-27.42817141,153.1138032
134,1016,137,-27.42834919,153.1139967
134,1006,136,-27.42853916,153.1142113
135,1003,134,-27.42872035,153.1144242
135,999,133,-27.42887425,153.1146119
136,996,132,-27.42905455,153.1148404
136,990,131,-27.42921888,153.1150574
137,986,130,-27.42937259,153.1152691
137,983,128,-27.42954131,153.1155125
138,977,127,-27.42969356,153.1157431
138,974,125,-27.42984951,153.1159917
139,970,124,-27.42999282,153.1162318
139,970,123,-27.43013,153.1164728
139,968,122,-27.43025884,153.1167099
140,965,120,-27.43039519,153.1169735
140,966,119,-27.43052535,153.117239
140,964,118,-27.43064573,153.1174978
141,965,117,-27.43077116,153.1177831
141,967,116,-27.43087156,153.1180245
141,965,114,-27.43098271,153.118307
141,965,113,-27.43108382,153.1185799
142,963,112,-27.43117957,153.1188549
142,965,111,-27.43127352,153.1191431
142,964,109,-27.43135883,153.1194232
142,967,108,-27.43144548,153.1197291
142,967,107,-27.43151338,153.1199878
143,970,106,-27.43158937,153.1203023
143,971,104,-27.43165046,153.1205791
143,975,103,-27.43170902,153.1208702
143,980,102,-27.43176399,153.1211735
143,981,101,-27.4318134,153.1214817
143,981,99,-27.43185626,153.1217883
144,984,98,-27.43189175,153.1220848
144,981,97,-27.43192148,153.1223838
144,975,95,-27.43194514,153.1226824
144,971,94,-27.43196344,153.1229931
144,974,93,-27.43197518,153.123294
144,973,92,-27.43198106,153.1235944
144,973,90,-27.43198104,153.1239059
144,972,89,-27.43197523,153.1242054
144,972,88,-27.43196363,153.1245064
144,968,87,-27.43194617,153.124806
144,961,85,-27.43192248,153.1251073
144,958,84,-27.43189186,153.1254148
144,958,83,-27.43185651,153.1257084
143,957,81,-27.43181046,153.1260327
143,958,80,-27.43176477,153.1263132
143,958,79,-27.43171107,153.1266079
143,961,78,-27.43165304,153.1268957
143,960,77,-27.43159061,153.1271784
143,964,75,-27.43151223,153.1275032
144,964,74,-27.43144026,153.1277786
144,967,73,-27.43135724,153.1280744
144,972,72,-27.43126769,153.1283721
144,975,71,-27.43117632,153.1286567
144,977,70,-27.43108568,153.1289229
144,973,68,-27.43097658,153.1292249
144,975,67,-27.43087213,153.1294976
145,976,66,-27.43076436,153.1297645
145,974,65,-27.43063536,153.130067
145,975,64,-27.4305176,153.1303291
145,973,63,-27.43039658,153.1305858
145,973,61,-27.43025502,153.1308714
146,971,60,-27.43011766,153.1311352
146,971,59,-27.42997825,153.1313909
146,969,58,-27.42982853,153.1316534
146,969,57,-27.42967267,153.1319143
146,964,55,-27.42951638,153.1321642
147,964,54,-27.42935396,153.1324125
147,959,53,-27.42918476,153.1326599
147,951,52,-27.42901198,153.1329016
147,949,50,-27.42883912,153.1331332
147,950,49,-27.42865515,153.1333694
147,950,48,-27.42845737,153.1336128
147,947,47,-27.42826719,153.1338372
147,948,46,-27.42808289,153.1340465
147,947,45,-27.42789931,153.1342474
148,946,43,-27.42768018,153.134478
148,946,42,-27.42747924,153.1346811
148,945,41,-27.42726748,153.1348872
148,944,40,-27.42704372,153.1350966
148,942,39,-27.4268245,153.1352937
148,938,38,-27.42661086,153.1354788
148,942,37,-27.42638065,153.1356711
148,937,36,-27.42615567,153.1358528
148,935,35,-27.42594238,153.1360199
148,937,34,-27.42569689,153.136207
148,937,34,-27.42547144,153.1363748
148,938,33,-27.42524814,153.136538
147,936,33,-27.42500934,153.1367101
147,937,32,-27.42477832,153.1368748
147,941,32,-27.42454567,153.1370397
147,943,32,-27.42430353,153.1372104
146,947,32,-27.42407616,153.13737
146,950,32,-27.42383757,153.1375367
145,956,32,-27.42360288,153.1377
145,965,32,-27.4233767,153.1378565
144,975,31,-27.42313724,153.1380215
144,982,31,-27.42290026,153.1381836
143,987,31,-27.42267849,153.138334
143,991,31,-27.42244318,153.138492
142,995,31,-27.4222046,153.1386502
142,1001,30,-27.4219992,153.1387849
141,1010,30,-27.42176117,153.1389391
141,1017,30,-27.42152355,153.1390912
140,1020,29,-27.42130471,153.1392296
140,1026,29,-27.42107859,153.1393711
139,1026,29,-27.4208348,153.139522
139,1030,29,-27.42060654,153.1396618
139,1031,28,-27.42037945,153.1397995
139,1031,28,-27.4201544,153.1399345
139,1030,28,-27.41992747,153.1400696
138,1030,28,-27.41969791,153.1402053
138,1030,28,-27.41945239,153.1403494
138,1031,27,-27.41922155,153.1404835
138,1027,27,-27.41899595,153.1406131
138,1027,27,-27.41876133,153.1407464
138,1027,27,-27.4185226,153.1408803
137,1026,26,-27.41828541,153.1410117
137,1026,26,-27.4180654,153.1411322
137,1023,26,-27.41782459,153.1412625
137,1024,25,-27.41760553,153.1413797
137,1024,25,-27.41734576,153.1415169
137,1022,25,-27.41713667,153.141626
137,1022,25,-27.41689525,153.1417506
137,1022,24,-27.41666207,153.1418694
136,1020,24,-27.41643381,153.1419844
136,1020,24,-27.41619177,153.142105
136,1019,24,-27.41595086,153.1422235
