GroundSpeed (kts),Altitude (feet),Heading (deg),Latitude (deg),Longitude (deg)
0,0,208,-27.38517768,153.1282868
0,0,208,-27.38517768,153.1282868
0,0,208,-27.38517768,153.1282868
0,0,208,-27.38517769,153.1282868
0,0,208,-27.38517769,153.1282868
0,0,208,-27.38517769,153.1282868
0,0,208,-27.38517769,153.1282868
0,0,208,-27.38517769,153.1282868
0,0,208,-27.3851777,153.1282868
0,0,208,-27.3851777,153.1282868
0,0,208,-27.3851777,153.1282868
0,0,208,-27.3851777,153.1282868
0,0,208,-27.3851777,153.1282868
0,0,208,-27.38517771,153.1282868
0,0,208,-27.38517771,153.1282868
0,0,208,-27.38517771,153.1282868
0,0,208,-27.38517771,153.1282868
0,0,208,-27.38517771,153.1282868
0,0,208,-27.38517771,153.1282868
0,0,208,-27.38517772,153.1282868
0,0,208,-27.38517772,153.1282868
0,0,208,-27.38517772,153.1282868
0,0,208,-27.38517772,153.1282868
0,0,208,-27.38517772,153.1282868
0,0,208,-27.38517773,153.1282868
0,0,208,-27.38517773,153.1282868
0,0,208,-27.38517773,153.1282868
0,0,208,-27.38517773,153.1282868
0,0,208,-27.38517773,153.1282868
0,0,208,-27.38517774,153.1282868
0,0,208,-27.38517774,153.1282868
0,0,208,-27.38517774,153.1282868
0,0,208,-27.38517774,153.1282868
0,0,208,-27.38517774,153.1282868
0,0,208,-27.38517775,153.1282868
0,0,208,-27.38517775,153.1282868
0,0,208,-27.38517775,153.1282868
0,0,208,-27.38517775,153.1282868
0,0,208,-27.38517775,153.1282868
0,0,208,-27.38517775,153.1282868
0,0,208,-27.38517776,153.1282868
0,0,208,-27.38517776,153.1282868
0,0,208,-27.38517776,153.1282868
0,0,208,-27.38517776,153.1282868
0,0,208,-27.38517776,153.1282868
0,0,208,-27.38517777,153.1282868
0,0,208,-27.38517777,153.1282868
0,0,208,-27.38517777,153.1282868
0,0,208,-27.38517777,153.1282868
0,0,208,-27.38517777,153.1282868
0,0,208,-27.38517778,153.1282868
0,0,208,-27.38517778,153.1282868
0,0,208,-27.38517778,153.1282868
0,0,208,-27.3851778,153.1282868
0,0,208,-27.38517792,153.1282867
0,0,208,-27.38517827,153.1282865
2,0,208,-27.3851799,153.1282855
4,0,208,-27.3851844,153.1282827
6,0,208,-27.38519272,153.1282777
8,0,207,-27.38520451,153.1282707
10,0,207,-27.38522086,153.1282612
12,0,206,-27.38524004,153.1282504
14,0,205,-27.38526241,153.1282383
16,0,203,-27.38529011,153.1282239
18,0,202,-27.38531744,153.1282103
19,0,201,-27.3853492,153.1281952
21,0,200,-27.38538334,153.1281798
22,0,199,-27.38542269,153.128163
23,0,200,-27.38546029,153.1281476
25,0,200,-27.38550386,153.1281298
25,3,201,-27.38554874,153.1281115
25,3,204,-27.38559122,153.1280935
27,0,205,-27.38563776,153.1280721
28,0,205,-27.38568431,153.1280491
30,0,205,-27.3857347,153.1280233
31,3,204,-27.38578781,153.1279961
32,3,205,-27.38584097,153.1279689
33,3,205,-27.38589787,153.1279396
34,3,205,-27.38595299,153.127911
35,3,206,-27.38601322,153.1278795
36,3,207,-27.38607193,153.1278483
37,3,207,-27.3861342,153.1278145
38,3,208,-27.38619885,153.1277784
39,3,207,-27.38626298,153.1277421
41,3,207,-27.38633491,153.1277011
41,3,207,-27.38640295,153.1276626
42,3,207,-27.38646962,153.1276248
43,3,208,-27.38654624,153.1275811
44,3,208,-27.38661815,153.1275398
45,3,208,-27.38669218,153.1274969
47,3,208,-27.38676967,153.1274516
48,3,207,-27.38685023,153.1274046
49,3,206,-27.38692994,153.1273584
50,3,206,-27.38700816,153.1273135
51,3,207,-27.38709848,153.127262
52,3,207,-27.38718326,153.1272139
52,3,207,-27.38726948,153.1271649
53,3,207,-27.38735731,153.1271149
54,3,207,-27.38745,153.127062
55,3,207,-27.38754161,153.1270097
56,3,207,-27.387634,153.1269568
57,3,207,-27.38772651,153.1269038
58,3,207,-27.38782149,153.1268492
59,3,207,-27.3879189,153.1267931
60,3,207,-27.38801661,153.1267367
61,3,208,-27.38812319,153.126675
61,3,208,-27.38821524,153.1266216
