GroundSpeed (kts),Altitude (feet),Heading (deg),Latitude (deg),Longitude (deg)
112,39,206,-27.39152948,153.1248909
112,43,206,-27.39171095,153.1247861
113,46,207,-27.39189949,153.1246772
114,49,207,-27.39208677,153.1245689
114,49,207,-27.3922765,153.1244593
115,53,207,-27.39248005,153.1243418
116,56,207,-27.39266803,153.1242334
116,59,207,-27.39286236,153.1241214
117,62,206,-27.39305396,153.1240111
117,66,206,-27.39325766,153.1238941
117,72,206,-27.39345107,153.1237832
117,79,206,-27.39364228,153.1236739
117,89,206,-27.39385527,153.1235525
117,95,206,-27.39404093,153.1234468
117,102,206,-27.39423234,153.1233378
117,112,206,-27.39442632,153.1232271
117,122,206,-27.39463124,153.12311
117,128,206,-27.39481224,153.1230063
117,138,206,-27.39502495,153.1228844
117,148,206,-27.39521877,153.1227731
117,158,206,-27.39541979,153.1226577
117,167,206,-27.39560547,153.122551
117,174,207,-27.39579922,153.1224397
117,184,207,-27.39600363,153.1223222
117,194,206,-27.39619719,153.1222111
117,204,206,-27.39638817,153.1221015
117,213,206,-27.39658807,153.1219869
117,223,206,-27.39678589,153.1218736
117,233,206,-27.39697665,153.1217645
117,243,206,-27.39717904,153.121649
117,253,206,-27.39737968,153.1215348
117,263,206,-27.39757307,153.1214249
117,272,206,-27.39776742,153.1213148
117,282,206,-27.39797094,153.1211998
117,292,206,-27.39816166,153.1210924
117,302,206,-27.39834714,153.1209883
117,312,206,-27.39855971,153.1208692
117,322,206,-27.39875091,153.1207622
117,331,206,-27.3989446,153.1206539
117,341,206,-27.39913913,153.1205451
117,351,206,-27.39934294,153.1204313
117,361,206,-27.39953408,153.1203247
117,368,206,-27.39972901,153.1202161
117,377,206,-27.39992316,153.1201082
117,387,206,-27.40012508,153.1199961
117,397,206,-27.40031911,153.1198887
117,404,206,-27.40051441,153.1197807
117,414,206,-27.40072449,153.1196649
117,423,206,-27.4009222,153.1195562
117,433,205,-27.40110641,153.1194552
117,440,205,-27.40130487,153.1193467
117,450,205,-27.40150008,153.1192403
117,459,205,-27.4016941,153.119135
117,466,205,-27.40189005,153.1190288
117,476,205,-27.40210244,153.1189138
117,486,205,-27.40229859,153.1188074
118,492,205,-27.40249679,153.1186996
118,502,205,-27.40269318,153.1185926
118,509,205,-27.40288961,153.1184854
118,519,205,-27.40310256,153.1183691
118,528,205,-27.40329927,153.1182615
118,535,205,-27.40349429,153.1181547
118,545,205,-27.40370905,153.1180371
118,551,205,-27.40390608,153.1179292
118,561,205,-27.40410098,153.1178224
118,571,205,-27.40429888,153.1177141
118,578,205,-27.40450636,153.1176006
118,587,205,-27.40470197,153.1174937
118,597,205,-27.40490805,153.1173812
118,604,205,-27.40509767,153.1172778
119,614,205,-27.40529278,153.1171717
119,623,205,-27.40550115,153.1170586
119,630,205,-27.40569987,153.1169509
119,640,205,-27.40589813,153.1168438
119,650,205,-27.40610382,153.116733
119,660,205,-27.40632168,153.1166161
119,669,205,-27.40650179,153.1165197
119,676,205,-27.40671656,153.1164051
119,686,205,-27.40691632,153.1162988
119,696,205,-27.40711271,153.1161943
119,706,205,-27.40732215,153.1160831
119,712,205,-27.40752264,153.1159769
119,722,205,-27.40772251,153.1158712
119,728,205,-27.40792986,153.1157617
119,738,205,-27.40813038,153.1156561
119,748,205,-27.40833165,153.1155502
119,755,205,-27.40853226,153.1154449
119,765,204,-27.40873488,153.1153387
120,771,204,-27.40894244,153.1152302
120,781,204,-27.40915923,153.1151168
120,791,204,-27.40934643,153.115019
120,797,204,-27.40953753,153.1149192
119,807,204,-27.40975511,153.1148057
