GroundSpeed (kts),Altitude (feet),Heading (deg),Latitude (deg),Longitude (deg)
0.095979638,18.5976696,209.3745422,-27.37799454,153.1321106
0.074710704,18.5988636,209.0388336,-27.37799454,153.1321106
0.063738652,18.59986305,208.8303986,-27.37799454,153.1321106
0.056503255,18.59607315,209.3775024,-27.37799454,153.1321106
0.321394354,18.60609055,209.3676605,-27.37799644,153.1321106
0.054543875,18.60450935,209.175293,-27.37799644,153.1321106
0.431128412,18.61728096,208.9747772,-27.37799835,153.1321106
0.59423244,18.61862373,208.9605408,-27.37800026,153.1321106
5.763579845,18.60394287,209.036972,-27.37800789,153.1321106
14.16047192,18.60449409,206.2076721,-27.37804794,153.1320801
23.56056213,18.61952019,205.0841675,-27.37813187,153.1320343
32.42237473,18.64242554,207.4120483,-27.37825584,153.1319733
39.95910645,18.59865189,212.2608337,-27.37839699,153.131897
48.03860855,18.64971542,213.2961426,-27.37858963,153.1317596
55.02624893,18.63935661,210.1241302,-27.37879181,153.1316376
62.18676376,18.64782715,209.7976532,-27.37904358,153.131485
68.30627441,18.64878845,209.6221924,-27.37930298,153.1313324
73.90609741,18.64853287,211.2946625,-27.37958527,153.1311646
79.77212524,18.88716888,210.4086914,-27.37991905,153.1309662
84.88291168,18.67547607,210.5468597,-27.3802433,153.1307831
89.9967804,19.38595963,212.8145294,-27.38062477,153.1305542
94.43789673,21.71715736,215.1950684,-27.38097382,153.1303406
98.22973633,29.60794258,217.1985931,-27.38136864,153.130127
101.5506058,41.55833435,213.6365967,-27.38183784,153.1298981
104.3764801,52.44481277,209.8693237,-27.38228035,153.1296997
107.0789185,63.31152725,210.7566681,-27.38273811,153.1294861
109.2375717,76.0799942,212.6897888,-27.38319778,153.1292725
111.1896896,87.71989441,212.0175934,-27.38365364,153.1290588
112.8283615,101.716301,211.605484,-27.38411331,153.1288452
114.5704117,118.1459427,211.8995209,-27.3846283,153.1286011
115.944313,133.3022919,212.7221069,-27.38508606,153.1283722
117.3034821,153.0787659,212.5683899,-27.38562012,153.1281128
118.3698502,170.870697,212.1554413,-27.38608742,153.1278687
119.4614792,192.1315918,212.516037,-27.38661766,153.1276093
120.1544342,213.8165131,212.7126617,-27.38709831,153.1273651
120.8706055,238.8450317,212.3289337,-27.38763046,153.1270905
121.4884949,260.9884033,212.1970062,-27.38810349,153.1268463
122.1168442,286.5448303,212.1911163,-27.38863945,153.1265869
122.6387177,313.319458,211.9397278,-27.38913536,153.1263428
123.1844559,338.0733337,211.548645,-27.38969231,153.1260681
123.7101593,362.5462646,211.2281189,-27.39019775,153.125824
124.3069229,389.1622009,210.8403778,-27.39075851,153.1255493
124.7688675,412.9387512,210.4647827,-27.39126587,153.1253204
124.7992249,436.054657,210.1763763,-27.3917675,153.1250916
124.6728287,461.730896,210.0189667,-27.39232826,153.1248322
124.5141296,485.9234009,210.0127411,-27.39286423,153.124588
124.0929718,510.0574646,210.0173492,-27.39341354,153.1243439
123.5237885,532.6942749,210.0710449,-27.39395523,153.1240997
123.0057297,552.1590576,210.1016846,-27.39445114,153.1238708
122.2859116,572.1343994,210.0824585,-27.39500237,153.1236267
121.8590164,588.8972778,210.0614624,-27.39551353,153.1233978
121.3145447,607.5276489,210.1906433,-27.39606476,153.1231537
120.7002029,626.7288818,210.0921783,-27.39655495,153.1229248
120.0087433,648.3100586,210.0417938,-27.39709091,153.1226959
119.3365479,668.9038696,210.0570526,-27.3975811,153.122467
118.6078491,691.5465698,209.9944,-27.39810371,153.1222382
118.1642151,710.8731689,209.8182068,-27.39858818,153.1220245
118.0057983,728.3181152,209.7416077,-27.39911079,153.1217957
117.9346695,743.718689,209.7350769,-27.3996315,153.1215668
117.6346741,762.5169678,209.5269318,-27.40017509,153.1213379
117.3347931,780.3838501,209.3003082,-27.40067101,153.1211243
117.0046234,797.9932861,209.1894836,-27.40113831,153.1209259
116.6270523,818.2147827,208.8367462,-27.40165901,153.1207123
116.3740234,838.8835449,208.1433716,-27.40218544,153.1204987
116.7752991,853.137207,207.1198883,-27.40266991,153.1203156
117.9693909,861.7984619,205.5665436,-27.40320969,153.1201172
119.0867615,868.9556274,204.0714111,-27.40369225,153.1199646
120.6565857,876.1757202,201.3970947,-27.40431213,153.1197815
121.8616486,882.4066772,199.377533,-27.40479469,153.1196747
123.0716248,891.0271606,197.1737671,-27.40540504,153.1195526
123.977272,902.305542,194.998703,-27.40597916,153.1194763
124.8336792,914.3164673,192.7823792,-27.4065609,153.1194153
125.5916977,926.8961792,190.7630157,-27.40713501,153.1193695
126.2759018,940.3547974,188.6643066,-27.40771294,153.1193695
126.9493484,953.8145142,186.7376251,-27.40828705,153.1193695
127.8279114,965.1435547,184.7967377,-27.4088707,153.1194153
128.8647156,973.888916,183.0530396,-27.40944099,153.1194611
130.2001495,979.8544312,181.0477448,-27.41004562,153.1195374
131.8086548,983.5419312,178.977066,-27.41069221,153.1196594
133.3864899,984.7386475,177.0376129,-27.41127968,153.1197815
135.1234741,985.3991699,174.7824554,-27.41193199,153.1199341
136.4754028,987.1642456,172.8040619,-27.41249657,153.1201019
137.8786316,991.2229614,170.4464874,-27.41316986,153.1203156
138.9249878,996.5438843,168.416275,-27.41375542,153.1205444
139.835083,1003.059143,166.542099,-27.41433334,153.1207886
140.8477325,1010.402893,164.3766327,-27.41498756,153.1210785
141.7059326,1017.050171,162.4809723,-27.41556168,153.1213684
142.4858551,1025.238892,160.3064728,-27.41611862,153.1216736
143.2419128,1034.395996,157.8713226,-27.4167366,153.1220551
143.8657837,1046.308838,155.4193573,-27.41734505,153.1224518
144.4917603,1055.928589,153.4744415,-27.41787338,153.1228333
145.4316101,1063.622437,150.96492,-27.41846085,153.123291
146.1786499,1070.873047,149.0787811,-27.4189682,153.1237183
147.2451172,1075.937744,146.9075012,-27.41952324,153.1242065
148.4516449,1076.946167,144.9000702,-27.42001724,153.1246796
149.8665619,1076.194824,142.7634888,-27.4205513,153.1252289
151.3246765,1074.142822,140.4647369,-27.42107964,153.1257935
152.5977325,1071.871094,138.4907532,-27.42153931,153.1263428
153.9825592,1068.942017,136.3266296,-27.42204094,153.1269531
155.1206207,1066.531982,134.2580414,-27.422472,153.127533
156.1535339,1066.269897,132.0310822,-27.42294693,153.1282043
156.9474792,1067.47644,129.9823303,-27.42336082,153.1288452
157.6717987,1070.323853,127.6504898,-27.42380142,153.1295624
158.2840271,1073.791138,125.4239578,-27.42417717,153.1302185
159.0072021,1076.178589,122.9422073,-27.42453957,153.1309204
159.806839,1078.235718,119.9853668,-27.42491913,153.1317139
160.4767303,1079.902466,117.4129639,-27.42522621,153.1324463
161.2361145,1080.941284,114.65345,-27.42554092,153.1332703
161.9264374,1080.966309,112.2537918,-27.42579651,153.1340179
162.7187195,1079.879272,109.6763763,-27.42605019,153.1348724
163.4203186,1077.984619,107.2203445,-27.42625237,153.1356354
164.0668335,1076.67334,104.6559982,-27.4264431,153.1364746
164.6003418,1076.043213,102.1095428,-27.42660522,153.1373291
165.0171814,1076.219604,99.6452179,-27.42673874,153.1381989
165.2963867,1077.159668,97.39728546,-27.42683411,153.1389923
165.4891357,1079.172607,94.89877319,-27.42691422,153.1398926
165.5603027,1082.327759,92.46710205,-27.42696381,153.1408081
165.6431885,1084.926025,90.52846527,-27.42698288,153.1415863
165.8098755,1086.437256,88.34996796,-27.42697906,153.1424713
165.9863586,1087.138672,86.15543365,-27.42694855,153.1433411
166.1968842,1087.357178,84.21697235,-27.42689514,153.1442108
166.660553,1084.217651,82.20826721,-27.42681503,153.1450806
167.2148743,1078.81543,80.31617737,-27.42671394,153.1459503
167.8466339,1071.642334,78.40596008,-27.42659187,153.1467896
168.6139374,1061.753418,76.3657074,-27.42643166,153.1477203
169.2671967,1051.895752,74.37194824,-27.42626381,153.1485748
169.7265778,1043.511475,72.31725311,-27.42606544,153.1494293
169.8543854,1037.924194,69.96764374,-27.42584991,153.1502533
169.5883331,1036.598511,67.50471497,-27.42560577,153.1510773
169.0754547,1038.519531,64.89987946,-27.42532349,153.1519165
168.4395142,1042.186401,62.49062729,-27.42502785,153.15271
167.8164825,1046.315918,60.03393173,-27.42467117,153.1535645
167.3247833,1048.670044,57.70767593,-27.42432022,153.1543274
166.8881683,1049.8479,55.30863571,-27.42393494,153.1550903
166.5145264,1049.706421,52.86832428,-27.42351913,153.155838
166.1824799,1048.281372,50.29308701,-27.42307854,153.1565857
165.8164978,1045.878418,47.49653625,-27.42260933,153.1573029
165.4175873,1043.32605,44.80226898,-27.42215538,153.1579437
164.7809143,1041.501099,41.56371307,-27.42163086,153.1585999
163.9098206,1042.46106,38.55200958,-27.42109871,153.1592255
162.8665466,1045.959717,35.70385742,-27.42056465,153.15979
161.614975,1052.098877,32.83020401,-27.4200058,153.1603241
160.0097809,1061.90271,29.73496437,-27.41936111,153.1608734
158.6891632,1071.578735,27.37331772,-27.41876602,153.1613464
157.7280426,1078.160156,25.0878067,-27.41813087,153.1618195
157.155304,1079.610474,22.89829445,-27.41751289,153.1622314
156.8544006,1076.85791,20.60532188,-27.41689491,153.1626129
156.6678619,1071.536987,18.41311836,-27.41625595,153.1629639
156.6857605,1063.696289,16.48454285,-27.41553497,153.1633301
156.7970734,1056.867065,15.10398769,-27.41487122,153.1636505
156.4289093,1057.517944,14.35591793,-27.4142189,153.1639404
156.2724762,1057.985107,13.92462349,-27.41356468,153.1642303
156.2690582,1057.141479,13.505229,-27.41289711,153.1645203
156.2748718,1055.804688,13.05088615,-27.41215134,153.1648254
156.2714386,1055.302246,12.94247913,-27.4114933,153.1651001
156.2297516,1055.498413,12.76335621,-27.41081429,153.1653748
156.1318359,1056.544556,12.63398075,-27.41016197,153.1656494
155.9143372,1058.634277,12.54214382,-27.40943146,153.1659393
155.371521,1060.875122,12.43020916,-27.40877342,153.166214
154.6929321,1063.111816,12.34588432,-27.4081192,153.1664734
154.336853,1061.28186,12.22172165,-27.40739059,153.1667633
154.2932739,1055.132324,12.29018879,-27.40670013,153.167038
154.3908539,1047.809082,12.2583971,-27.40608215,153.1672821
154.7163391,1036.605713,12.23825741,-27.40537262,153.167572
155.2243958,1022.707336,12.32966805,-27.40465927,153.1678619
155.7852631,1006.956421,12.39291286,-27.40404892,153.1681061
156.2835236,993.8966675,12.42203808,-27.40334702,153.1683807
156.6781311,979.0201416,12.38569546,-27.40265656,153.1686554
157.0257263,965.3395996,12.24878883,-27.40196419,153.1689301
157.4427338,950.1835327,12.08834267,-27.40126419,153.1692047
157.8944244,934.5648193,12.04825592,-27.40057755,153.1694794
158.2968292,918.4703979,12.05629539,-27.39987946,153.169754
157.9681854,910.7973022,12.11505318,-27.39919472,153.1700287
157.1264191,911.4909058,12.08412838,-27.39850044,153.1702881
155.8676605,918.9524536,12.11914253,-27.39781952,153.1705627
154.6525269,927.9243164,12.05472279,-27.39714432,153.1708221
153.4601898,936.9378052,12.04915524,-27.39641953,153.1711121
152.6033478,942.9013672,12.09372139,-27.39576149,153.1713715
151.8896332,947.3566284,12.17356396,-27.39510536,153.1716309
151.2363739,951.3231201,12.26374722,-27.39446449,153.1718903
150.5147247,956.1947021,12.37621117,-27.39375305,153.1721802
149.8730774,960.8582764,12.42409801,-27.39310837,153.1724396
149.2138977,965.5184326,12.44268799,-27.39246941,153.1727142
148.5753632,970.2149048,12.36384583,-27.3918438,153.1729584
147.8730774,975.4227905,12.18696976,-27.39114761,153.1732483
147.2691803,980.0638428,12.08041477,-27.39051819,153.1734924
146.7158203,984.4216919,11.96861267,-27.38989258,153.1737518
146.1673584,988.8067017,11.86413765,-27.38920212,153.1740265
145.740387,992.2525024,11.81002998,-27.38857841,153.1742706
145.383194,995.1307983,11.7729063,-27.38795853,153.17453
145.0990601,997.3630981,11.75105762,-27.38734055,153.1747742
144.8690948,999.0346069,11.75729752,-27.38666344,153.1750488
144.7222137,999.8387451,11.70477676,-27.38604546,153.175293
144.5768585,1000.019897,11.5792532,-27.38543129,153.1755371
144.4091492,1000.216431,11.45483398,-27.38481522,153.1757813
144.2187347,1000.661377,11.2030468,-27.38413429,153.1760406
144.0386353,1001.234375,11.0507164,-27.38352203,153.1762848
143.8576508,1001.97998,10.95943069,-27.38290405,153.1765137
143.6770935,1002.897766,10.83890724,-27.38228416,153.1767578
143.4733887,1004.112915,10.73492336,-27.38160324,153.1770172
143.2901154,1005.427246,10.6782198,-27.38098526,153.1772461
143.1265411,1006.797241,10.63058662,-27.38037682,153.177475
142.9825897,1008.097839,10.60050964,-27.37968826,153.1777344
142.9551239,1008.357666,10.59101295,-27.37906647,153.1779633
142.9944,1007.78894,10.61954212,-27.37845421,153.1781921
143.1354523,1006.232971,10.64229393,-27.37783623,153.1784363
