GroundSpeed (kts),Altitude (feet),Heading (deg),Latitude (deg),Longitude (deg)
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135485,153.1304151
0,0,208,-27.38135512,153.1304149
2,0,208,-27.38135731,153.1304136
5,0,207,-27.38136336,153.1304101
7,0,207,-27.38137332,153.1304043
9,0,206,-27.38138689,153.1303967
11,0,205,-27.38140459,153.130387
13,0,204,-27.38142521,153.1303763
15,0,203,-27.38145098,153.1303635
16,0,202,-27.3814773,153.1303509
17,0,203,-27.38150616,153.1303374
19,0,202,-27.38153859,153.1303222
20,0,202,-27.38157252,153.1303064
21,3,202,-27.38160872,153.1302898
