GroundSpeed (kts),Altitude (feet),Heading (deg),Latitude (deg),Longitude (deg)
0.004421409,18.58127785,206.9228973,-27.3748703,153.1341858
0.00340972,18.58127022,206.903183,-27.3748703,153.1341858
0.001600832,18.58111572,206.9051208,-27.3748703,153.1341858
0.003494238,18.58129311,206.9044342,-27.3748703,153.1341858
0.000923765,18.5812397,206.906601,-27.3748703,153.1341858
0.001229123,18.58133507,206.9041595,-27.3748703,153.1341858
0.001299758,18.58134842,206.9075165,-27.3748703,153.1341858
0.017620316,18.58148575,206.8866272,-27.3748703,153.1341858
0.078990318,18.58304596,206.8909302,-27.3748703,153.1341858
0.341768444,18.59459305,206.8072052,-27.37487221,153.1341858
0.050727606,18.60203552,206.5938721,-27.37487221,153.1341858
0.015993824,18.60216522,206.5142059,-27.37487221,153.1341858
0.012889454,18.60118866,206.5483551,-27.37487221,153.1341858
0.010497797,18.60155296,206.5306549,-27.37487221,153.1341858
0.015540818,18.60177994,206.5281372,-27.37487221,153.1341858
0.198639497,18.60155106,206.4057922,-27.37487221,153.1341858
4.401044369,18.59283066,206.6503296,-27.37487793,153.1341858
12.57634544,18.59513474,206.865097,-27.37491035,153.1341705
21.50987053,18.61837196,208.4219208,-27.37498093,153.1341248
28.33894348,18.65453911,209.7389221,-27.37506294,153.134079
35.78403473,18.67038918,210.5469666,-27.3751812,153.1340027
43.51861191,18.70354652,210.0347443,-27.37534523,153.1339111
49.88325882,18.65921783,210.8760986,-27.37550735,153.1338196
56.25679398,18.70882416,209.2417297,-27.37570381,153.1336975
62.23268127,18.60918427,211.134903,-27.37592316,153.1335602
69.50138092,18.75660324,213.1795807,-27.3762455,153.1333618
76.47265625,18.79817963,211.2919464,-27.37660027,153.1331482
83.57032013,18.9323349,212.5183105,-27.37703896,153.1328583
90.26171112,18.93345261,211.3842163,-27.37751389,153.1325684
94.43535614,19.02110291,212.5178223,-27.37785912,153.1323547
98.91098022,19.19593811,211.1801453,-27.37826347,153.1320953
103.4588547,20.80814362,211.5541077,-27.37869835,153.1318359
106.9905396,30.07524872,216.5123291,-27.37914658,153.1315918
109.6283417,38.18909836,213.9181213,-27.37957764,153.1313782
112.2344284,49.08026886,209.6168518,-27.3800602,153.1311493
114.7821884,57.18054962,209.9018707,-27.38053703,153.1309357
117.5218048,63.12084961,211.7838745,-27.38108444,153.1306915
119.5836105,67.19916534,211.5628662,-27.38155174,153.1304779
121.5733032,76.20729828,211.1472778,-27.38209343,153.1302032
123.1571274,88.58680725,211.8252106,-27.38260269,153.1299591
124.5184708,103.1359634,212.2186737,-27.38311958,153.1296997
125.7710419,122.0326157,212.1749115,-27.38368607,153.129425
126.8641891,139.4176636,212.3859711,-27.38418198,153.1291656
127.9983597,159.9051361,212.7507782,-27.38473511,153.1288757
128.9887085,180.133255,212.7566223,-27.38524246,153.1286163
130.1225739,204.1484375,212.8271027,-27.38581085,153.1283112
131.4045563,230.3807373,213.0973663,-27.38637733,153.128006
132.4614868,256.4533691,212.8807678,-27.38689613,153.1277313
133.5277863,284.1602783,212.7479706,-27.3874321,153.1274414
134.7228699,312.6817932,212.8066101,-27.38801003,153.1271362
135.7764435,339.0670776,212.6188354,-27.38856125,153.1268463
136.3594818,368.4616394,212.3987885,-27.38917351,153.1265259
136.5134888,399.1685791,212.226059,-27.38974762,153.1262207
136.4351349,432.4376831,211.9646454,-27.39031219,153.1259308
136.1583252,469.9102783,211.7144623,-27.39089966,153.1256256
135.7724457,507.239563,211.4683685,-27.3914547,153.1253357
135.2851715,545.4666138,211.1841278,-27.39199829,153.1250763
134.6995239,585.5888062,210.8726959,-27.39254761,153.1248016
133.9460449,632.6022949,210.4993591,-27.3931694,153.1244965
133.2254486,674.8529053,210.1371307,-27.3937149,153.1242523
132.4667206,717.9429321,209.7424622,-27.39426041,153.1239929
131.6472168,763.9129639,209.2970734,-27.39483452,153.1237335
130.9128113,806.3988037,209.145752,-27.39536858,153.1235046
130.270752,849.489624,209.0162659,-27.39595413,153.1232452
129.9534302,886.8718872,209.0366669,-27.39651108,153.1230164
129.9189758,921.5528564,209.2700043,-27.39702797,153.1227875
130.2024078,951.8994141,209.298111,-27.39764595,153.1225128
130.6991272,976.2113647,209.2501068,-27.39815712,153.1222839
131.5648193,1001.360962,209.278244,-27.39876366,153.1220093
132.5367279,1020.216187,209.2490234,-27.39929581,153.1217804
133.5426178,1041.872192,209.2579041,-27.3999176,153.1215057
133.9087982,1066.517822,209.0909424,-27.40045738,153.1212616
134.486618,1095.897583,207.7363129,-27.40105629,153.1210022
135.5331573,1119.489502,206.5028381,-27.40159225,153.1207886
137.3147278,1140.047729,204.7938538,-27.40218735,153.120575
139.5512085,1149.307495,201.9022675,-27.40288353,153.1203613
139.6822052,1150.787964,199.5097198,-27.40344429,153.1202087
